Language,Morning greetings
Abkhaz,"Уа, Шьыжьы бзиа (Ua, Š’yž’y bzia)"
Adyghe,Уипчэдыжь шІу
Afrikaans,"Goeiemôre
 Môre"
Aklan,Mayad nga agahon
Albanian (Gheg),Mir-mëngjes
Albanian (Tosk),Mirëmëngjes
Aleut,Qilachxizax̂
Alsatian,"Güete Morge
 güete Morga"
Altay,"Јакшылыкту таҥла (Ĵakšılıktu tañla)
 Јакшы таҥ (Ĵakšı tañ)"
Amharic,"እንደምን አደርክ? (əndämən addärk?) ＞m
 እንደምን አደርሽ? (əndämən addärš?) ＞f
 አንደምን አደሩ? (əndämən addäru?) frm
 [how did you pass the night?]"
"Arabic
(Egyptian)","(ṣabā il kẖayr) صباح الخير
 response - (ṣabā in noor) صباح النّور"
"Arabic
(Lebanese)",Saba7 el khayr
"Arabic
(Modern Standard)",(ṣabāḥul kẖayr) صباح الخير
"Arabic
(Moroccan)",(ṣbah lkḥīr) صباح الخير
Aramaic,Safro bricho
"Armenian
(Eastern)","Բարի' լույս: (Bari luys)
 Աստծո բարին: (Asttzo barin) - response"
"Armenian
(Western)","Բարի լոյս: (Paree looys)
 Աստուծոյ բարին: (Asdoodzo pareen) - response"
Aragonese,Buen diya
Arapaho,"Nii’óóke’
 Hii3eti’ nohkuseic"
Assamese,সুপ্ৰভাত (xuprôbhat)
Asturian,Bonos díes
Azerbaijani,Sabahınız xeyir
Balinese,Rahajeng semeng
Bambara,"I ni sɔgɔma (sg)
 Aw ni sɔgɔma (pl)"
Bashkir,"хәйерле ирте
 (xäyyerlye irtye)"
Basque,Egun on
Bavarian,"Guadn moing
 Moing"
Belarusian,Добрай раніцы (Dobraj ranicy)
Bemba,"Mwaikaleni
 'Mwaombeni
 Mwashibukeni
 Eya mukwai (reply)"
Bengali,সুপ্রভাত (Shuprôbhat)
Bhojpuri,राम राम (raam raam)
Bikol,"Marhay na aga
 Dyos marhay na aga
 Marhay na pagka-aga"
Bislama,Gudmoning
Bosnian,Dobro jutro
Breton,Demat
Bulgarian,Добро утро (Dobro utro)
Burmese,မဂႆလာပၝ (min-ga-la-ba)
Cape Verdean Creole,Bon dia
Catalan,Bon dia
Cebuano,Maayong Buntag
Central Dusun,"Kopisanangan dongkosuabon
 Osonong kosuabon"
Chabacano de Cavite,Buenas dias
Chabacano de Zamboanga,Buenas dias
"Chamorro
(Guam dialect)","Buenas dias
 Buenas dihas"
"Chamorro
(North Marianas dialect)",Buenas dihas
Chechen,"Iуьйре дика йойла (Jüyre dika yoyla)
 Iуьйре дика хуьлда хьан (Jüyre dika xülda ẋan) - sg
 Iуьйре дика хуьлда шун (Jüyre dika xülda şun) - pl"
Cherokee,"ᎣᏍᏓ ᏑᎾᎴᎢ (Osda sunalei)
 ᎣᏍᏓ ᏒᎾᎴᎢ (Osda svnalei)"
Cheyenne,"Pėhévevóonā'o
 É-peve-vóona'a (It's a good morning)"
Chichewa,"Mwauka bwanji?
 Mwadzuka bwanji?
 Ndadzuka bwino (reply)"
"Chinese
(Cantonese)",早晨 (jóusàhn)
"Chinese
(Hakka)","安早 (on1zo3)
 早 (zo3)
 恁會早 (an3voi5zo3)"
"Chinese
(Mandarin)","早安 (zǎo'ān)
 早上好 (zǎoshànghǎo)
 早晨好 (zǎochénhǎo)
 你早 (nǐ zǎo)"
"Chinese
(Shanghainese)","侬早 (nóng zō)
 早安 (zō ä)
 早晨好 (zōlǎng hō)"
"Chinese
(Taiwanese)",𠢕早 (gâu-chá)
"Chinese
(Teochew)",早 (ja2)
Chipewyan,"K’abį́ nezų
 ʔédúhų́n k’ą́mbį́ ɂedlánet’é"
Chuukese,Nesor annim
Chuvash,Ыра кун пултӑр (Yra kun pultăr)
Cimbrian,Guuten mòrgont!
Coastal Kadazan,Kopivosian doungosuvab
Cornish,Myttin da
Corsican,Bonghjornu
Croatian,Dobro jutro
Cuyonon,Mayad nga timprano
Czech,"Dobré ráno
 Dobrý den"
Danish,God morgen
Dari,(Sobh baxir) صبح بخير
Dholuo,"Ichiyo nade? (How is your morning?)
 Achiyo ma ber (My morning is going well - reply)
 Oyaore? (How is the morning?)
 Oyaore ahinya (The morning is going well - reply)
 Oyawore (It [the sky] has opened itself) (sg)
 Oyawore ahinya (It has opened itself indeed) - reply sg) Oyaworeuru (pl)
 Oyaworeuru ahinya (reply - pl)"
Dutch,"Goedemorgen
 Goeiemorgen"
Dzongkha,"ངྲོ་པདེ་ལེགས།
 (Dobro delek)"
Efik,"Emesiere
 Emesiere nde (reply)"
Elfdalian,Gumåron
Estonian,Tere hommikust
Ewe,"Ŋdi
 Ŋdi na mi"
Extremaduran,"Buenu(s) día(s)
 Alos buenus días"
Faroese,Góðan morgun
Fijian,"Yadra
 Ni sa yadra"
Finnish,"Hyvää huomenta
 Huomenta"
Flemish (West),Goeije morn
French,Bonjour
Frisian (North - Mooring),Moin
Frisian (Saterland),Moarn
Frisian (West),Goeie moarn
Friulian,Bundì
Galician,Bos días
Garifuna,Buiti binafi
Gascon,Bon jorn
Georgian,დილა მშვიდობისა (dila mshvidobisa)
German,Guten Morgen
Greek (Ancient),"Ὑπίαινε! (Hypíaine!) - sg
 Ὑπιαίνετε! (Hypiaínete!) - pl"
Greek (Modern),"Καλημέρα σας (Kaliméra sas)
 Καλημέρα σου (Kaliméra su)
 Καλημέρα (Kaliméra)"
Greenlandic,"Iterluarit
 Kumoorn"
Guaraní,"Mba'eichapa nde ko'ê?
 (How are you in the morning?)
 Cheko'ê porâ, ha nde?
 (I am having a good morning, and you?)"
Gujarati,સુપ્રભાત (suprabhat)
Haitian Creole,"Bonjou
 Bon maten"
Hausa,"Ina kwana? (How did you sleep?)
 Lahiya lau (reply - in health)"
Hawaiian,"Aloha kakahiaka
 Aloha awakea"
Hebrew,(Boker tov) בוקר טוב
Herero,"Wa penduka
 Wa penduka nawa? (sg)
 Mwa penduka nawa (pl)"
Hiligaynon,Ma-ayong aga
Hindi,"नमस्ते (namaste)
 &शुभ प्रभात (śubh prabhāt) - rarely used"
Hopi,Lolomat taalawva
Hmong (White),"Nyob zoo (common any time of day)
 Nyob zoo yav tsaus ntuj os (not common)
 Nyob zoo thaum yav tsaus ntuj (not common)"
Hungarian,Jó reggelt (kívánok)
Iban,Selamat pagi
Icelandic,"Góðan daginn
 Góðan dag"
Igbo,"Ị bọọla chi (How did you wake?)
 Ị saala chị
 Ị pụtakwaa ọfụma
 Ị larụkwaa ọfụma"
Iloko,Naimbag a bigat
Inari Saami,Pyeri iiđeed
Indonesian,"Selamat pagi (early morning)
 Selamat siang (late morning)"
Inuktitut,"ᐅᓪᓛᓴᒃᑯᑦ
 (Ublaahatkut/Ullaasakkut)"
Iñupiaq,"Uvlaasatkun
 Uvlaalluataq"
Irish (Gaelic),"Dia dhuit ar maidin (sg)
 Dia dhaoibh ar maidin (pl)
 Maidin mhaith"
Italian,Buongiorno
Jamaican,Gud mawnin
Japanese,"お早うございます / おはようございます (ohayō gozaimasu)
 お早う / おはよう (ohayō)"
Javanese,"ꦱꦸꦒꦼꦁꦲꦺꦚ꧀ꦗꦶꦁ
 (Sugeng énjing)"
Jenesch,Voscha zarra
Jèrriais,"Bouônjour
 Bouônjour à matîn"
Kalmyk,Сән хонвт! (Sän xonvt)
Kannada,ಶುಭೋದಯ (shubhodaya)
Kaqchikel,"Xsaqär
 Xsaqär nan (said to older females)
 Xsaqär tat (said to older males)"
Karelian,Hyviä huondestu
Kashubian,Dzén dobri
Kazakh,Қайырлы таң! (Qayırlı tañ!)
Khmer,អរុណសួស្ដី (’ârŭn suŏ sdei)
Khoekhoe (Nama),!Gâi ǁgoas.
Kinaray-a,Mayad nga aga
Kinyarwanda,Mwaramutse
Kiribati,"Ko kaman uuti? (Have you been awake for long?)
 E uara matiuum? (How was your sleep?)"
Korean,"안녕하십니까 (annyeong hashimnikka)
 좋은 아침 (joheun achim)"
Kumyk,"Танг яхшы болсун
 (Tang yaхşı bolsun)
 Сав бол (Saw bol - reply)
 Сав болугъуз (Saw boluğuz - reply)"
!Kung San,Tuwa
Kurdish (Kurmanji),"Beyanîbash (sg)
 Spéde bi xer (sg)
 Sibaha te bi xér (sg)
 Beyanîbash (pl)
 Spede bi xer (pl)
 Sibaa we bi xer (pl)"
Kurdish (Sorani),Beyanî baş
Kven,"Moro
 Hyvää aamuu
 Hyvvää huomenta"
Kyrgyz,"Кутмандуу таңыңыз менен!
 (Kutmanduu tanyngyz menen!) - sg/frm"
Lakota Sioux,"Híŋháŋni
 Híŋhaŋni laȟči
 Híŋhaŋni wašté"
Ladino,"(Buenos diyas) בוינוס דייאס
 (Buena demanyana) בוינא דימאנייאנא"
Lao,ສະບາຍດີ ton sao (sába̖ai-di̖i ton sao)
Latin,Quid agis mane?
Latvian,Labrīt
Laz,კაი ოუმანი (Ǩai oumani)
Limburgish,Gojemörge
Lingala,Mbote
Lithuanian,Labas rytas
Loma,E nhungo
Low Saxon,(Goden) Morgen
Lozi,Lumela; U zuhile cwang'i?
Luganda,"Wasuze otya nno? (How was your night?)
 Bulungi, wasuze otya nno? (reply)"
Lule Sámi,Buorre idet
Luxembourgish,"Gudde Moien
 Moien"
Macedonian,"Добро утро (Dobro utro)
 Добро јутро (Dobro jutro)"
Maithili,"Suprabhaat
 Bhorak pranaam."
Malagasy,"Manahoana
 Manahoana tompoko ô (frm)
 Salama
 Akory"
Malay,Selamat pagi
Malayalam,സുപ്രഭാതം (suprabhātham)
Maldivian,(Ba'ajjeveri hendhuneh) ބައްއަޖޖެވުރި ހެނދުނެހް
Maltese,"Bonġu
 L-għodwa t-tajba"
Mam,"B’a’ntz q’ij
 Xisjiy"
Manx (Gaelic),Moghrey mie
Māori,"Kia ora
 Ata mārie
 Mōrena"
Marathi,सु-प्रभात (su-prabhāt)
Mauritian Creole,Bonzour
Mon,မၝဳဪအခိင္နဴဂယးရ။
Monégasque,"Bon girunu
 Bungiurnu"
Mongolian,Өглөөний мэнд (Öglöönii mend)
Mossi,"Ne y beoogo
 Ne y yibeogo"
Nahuatl,"Cualli tlanecic
 tlanecic
 Cualli tonalli (Good day)
 ¿Quen otlathuililo? (How was the dawn?)"
Nauruan,Omo yoran
Navajo,Yá'át'ééh abíní
Ndebele (Northern - Zimbabwe),Livukile
Ndebele (Southern),Ngivukile
Nepali,शुभ प्रभात (śubha prabhāta)
Newari / Nepal Bhasa,"ख्वाः सिले धुन ला ? (khvāḥ sile dhuna lā?)
 सनां यानादीधुन ला ? (sanāṅ yānādīdhuna lā - frm
 - Have you washed your face?)
 च्या त्वने धुन ला ? (cyā tvane dhuna lā?)
 च्या भपी धुनला ? (cyā bhapī dhunalā - frm
- Have you had your tea?)"
Niuean,Monuina e pogipogi
Nkore,Oraire ota? (How was your night?)
Nogai,Эртенъ яхшы болсын
Northern Sámi,"Buorre iđit
 Ipmel atti (reply)"
Northern Sotho,"Dumêlang
 Mmorong"
Norwegian,God morgen
Nupe,Kube lazhin
Occitan,Bonjorn
Ojibwe,"Mino gigizheb (""It's a good morning"")"
Okinawan,"起きみそーちー (ukimisoochii)
 起きみしぇーびてぃ (ukimisheebiti) - frm
 起きてぃ (ukiti) - inf"
Oriya,ସୁପ୍ରଭାତ (Suprabhāta)
Ossetian,Дæ уæ райсом хорз (Dæ uæ rajsom xorz)
Palauan,"Ungil Tutau
 Ungil Chodochosong (midmorning greeting)"
Papiamento,"Bon dia
 Mòro"
Pashto,"(sahr pikheyr) سحر پخير‏
 (sahaar mo pa kheyr) سهار مو په خير"
Pennsylvania German / Dutch,Gude(r) Mariye
Persian (Farsi),(sobh bekheir) صبح بخير
Pohnpeian,Menseng mwahu
Polish,Dzień dobry
Portuguese,Bom dia
Portuguese (Brazilian),Bom dia
Quechua,"Wuynus diyas
 Allin p'unchay (Good day)"
Rapa Nui,Iorana
Romani,Lačhi či tahrin
Romanian,Bună dimineața
Romansh,"Bien di
 Bun di"
Russian,Доброе утро! (Dobroe utro!)
Rusyn,Доброй рано (Dobroj rano)
Sakha,Үтүө сарсыарданан (ytyø sarsɯardanan)
Samoan,Manuia le taeao
Sanskrit,सुप्रभातम् (suprabhātam)
Sardinian (Logudorese),Bon jiorno
Scots,Guid mornin
Scottish Gaelic,Madainn mhath
Serbian,Добро јутро (Dobro jutro)
Serrano,Hakup 'a'ay taamit
Sesotho,Mmoro (sg) Mmorong (pl)
Shona,"Mangwanani
 Mangwanani, marara sei? (reply)"
Sicilian,Bon jornu [bɔŋˈggjɔrnu]
Sindhi,Subho bakhair
Sinhala,සුභ උදෑසනක් (subha udhāsanak)
Slovak,"Dobré ráno (used until 8am)
 Dobrý deň (used from 8am until dark)"
Slovenian,"Dobro jutro (until 8am)
 Dober dan (from 8am until sunset)"
Solresol,Simi
Somali,Subax wanaagsan
Sorbian (Lower),Dobre zajtšo
Sorbian (Upper),Dobre ranje
Southern Sámi,Buerie aerede
Spanish,Buenos días
Stellingwarfs,Goeiemorgen
Sundanese,Wilujeng énjing
Swahili,Habari ya asubuhi
Swazi,Kusile sihlobo sami
Swedish,God morgon
Swiss German,Guete Morge
Tagalog,"Magandang umaga po (frm)
 Magandang umaga (inf)"
Tahitian,"Ia ora na
 'Ia ora na 'oe (sg)
 'Ia ora na 'orua (dl)
 'Ia ora na 'outou (pl)"
Tajik,Cyбҳ ба xaйр. (Subḩ ba xajr)
Tamil (formal),"காலை வணக்கம்
 (kaalai vanakkam) [ml] [fm]"
Tamil (informal),"கால வணக்க
 (kaala vanakkã) [fm]"
Tatar,Xeyírlí irte
Telugu,"శుభోదయం (shubhodayam)
 సుప్రభాతం (supra bhetam)"
Tetum,"Bondia
 Dader diak
 Boasdias"
Thai,"สวัสดีครับ (sà-wàt-dee kráp) - m
 สวัสดีค่ะ (sà-wàt-dee kâ) - f"
Tibetan,"སྔ་དྲོ་བདེ་ལེགས། (nga-to delek)
 ཤོགས་པ་བདེ་ལེགས། (shokba delek)"
Tigrinya,"ከመይ ሓዲርካ (kemey Hadirka) m/sg
 ከመይ ሓዲርኪ (kemey Hadirki) f/sg
 ከመይ ሓዲርኩም (kemey Hadirkum) m/pl/frm
 ከመይ ሓዲርክን (kemey Hadirkin) f/pl/frm"
Tokelauan,Manuia te taeao
Tok Pisin,"Moning
Moning tru
Moning nau"
Tongan,Mālō tau ma‘u e pongipongi ni
Tsonga,Avuxeni
Tsotsil,Mi li'ote
Tswana,"Dumêla rra (frm>m)
 Dumêla mma (frm>f)"
Tumbuka,"Mwagona uli? (How did you sleep?)
 Nauka makola, kwali imwe? (Fine, and you?) - reply"
Turkish,Günaydın
Turkmen,Ertiriňiz haýyrly bolsun
Twi,"Me ma wo akye
 Maakye
 Yaa agya (reply - to an elderly man)
 Yaa ɛna (reply - to an elderly woman)
 Yaa anua (reply - to a sibling age mate or colleague)"
Udmurt,Ӟеч ӵукна (Dźeč ćukna)
Ukrainian,Доброго ранку! (Dobroho ranku)
Urdu,(subha bākhair) صبح بخير
Uyghur,"ئەتىگەنلىكىڭىز خەيرىلىك بولسۇن!
 (Ätigänlikingız xäyrılik bolsun!)"
Uzbek,Hayirli tong
Venda,"Ndi matsheloni
 Ndi matsheloni avhudi (reply)"
Venetian,Bondì
Veps,Hüväd homendest
Vietnamese,Chào buổi sáng
Võro,Hüvvä hummogut
"West Austrian
(Voralbergerisch)",Guata Morga
Westrobothnian,"Möran
 Go mårrn"
Wiradjuri,Yiradu marang
Welsh,Bore da
Wolof,Jaam nga fanane
Yapese,Fal'e kadbul
Yiddish,(Gutn morgn) גוטן מאָרגן
Yoruba,"Ẹ káàárọ̀
 Káàárọ̀"
Zazaki,"Sodir be xêr bo
 Şew be xêr bo
 Sibeh be xêr bo
 Nimej be xêr bo
 Sodirweş"
Zulu,"Sawubona (sg)
Sanibonani (pl)"